ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Hypolimnas bolina kezia,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Hypolimnas,未知,0,0.00,0.00
Mythimna arizanensis,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Mythimna,范義彬,0,24.22,121.31
Hypolimnas misippus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Hypolimnas,,0,0.00,0.00
Precis orithya orithya,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Precis,未知,0,0.00,0.00
Libythea celtis formosana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Libythea,莊鈴木,0,0.00,0.00
Abrota ganga formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Abrota,莊鈴木,0,0.00,0.00
Neptis sappho formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Neptis,莊鈴木,0,0.00,0.00
Neptis nata lutatia,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Neptis,莊鈴木,0,0.00,0.00
Neptis taiwana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Neptis,莊鈴木,0,0.00,0.00
Mythimna loreyi,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Mythimna,張玉珍,0,0.00,0.00
Acraea issoria formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Acraea,莊鈴木,0,0.00,0.00
Precis iphita iphita,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Precis,莊鈴木,0,0.00,0.00
Ariadne ariadne pallidior,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Ariadne,莊鈴木,0,0.00,0.00
Polygonia c-album asakurai,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Polygonia,莊鈴木,0,24.39,121.30
Kaniska canace drilon,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Kaniska,莊鈴木,0,0.00,0.00
Polyura eudamippus formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Polyura,莊鈴木,0,0.00,0.00
Sasakia charonda formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Sasakia,莊鈴木,1,0.0000,0.0000
Dravira chrysolora,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Dravira,莊鈴木,0,0.00,0.00
Celaenorrhinus ratna ratna,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Hesperiidae,弄蝶科,Celaenorrhinus,莊鈴木,0,0.00,0.00
Curetis acuta formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,灰蝶科,Curetis,莊鈴木,0,0.00,0.00
Jamides celeno celeno,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Jamides,莊鈴木,0,0.00,0.00
Spindasis syama,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Spindasis,莊鈴木,0,0.00,0.00
Euthalia formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euthalia,莊鈴木,0,0.00,0.00
Euthalia kosempona,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euthalia,莊鈴木,0,0.00,0.00
Sephisa daimio,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Sephisa,莊鈴木,0,0.00,0.00
Dichorragia nesimachus formosanus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Dichorragia,莊鈴木,0,0.00,0.00
Euthalia irrubescens fulguralis,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euthalia,莊鈴木,0,0.00,0.00
Calinaga buddha formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Calinaga,莊鈴木,0,0.00,0.00
Kallima inachus formosana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Kallima,莊鈴木,0,0.00,0.00
Timelaea albescens formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Timelaea,莊鈴木,0,0.00,0.00
Phalanta phalantha phalantha,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Phalanta,莊鈴木,0,0.00,0.00
Precis almana almanac,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Precis,莊鈴木,0,0.00,0.00
