資料日期,代號,名稱,成交股數,成交筆數,成交金額,成交價格,未成交買價,未成交買量,未成交賣價,未成交賣量
"1110628","00877","FH中國5G","1812","8","18985","10.48","10.45","14889","10.48","9680"
"1110628","00883B","中信ESG投資級債","0","0","0","0.00","31.13","3548","31.29","998"
"1110628","00884B","中信低碳新興債","0","0","0","0.00","29.82","1786","30.40","324"
"1110628","00886","永豐美國科技","478","4","8555","17.90","17.86","14226","17.90","11297"
"1110628","00887","永豐中國科技50大","792","2","13439","16.97","16.97","2551","17.15","2337"
"1110628","00888","永豐台灣ESG","805","14","10854","13.49","13.48","105023","13.49","13664"
"1110628","00890B","凱基ESG BBB債15+","0","0","0","0.00","32.50","999","0.00","0"
"1110628","1240","茂生農經","100","4","4609","46.10","46.10","3147","48.80","21"
"1110628","1258","其祥-KY","0","0","0","0.00","21.10","1699","21.45","681"
"1110628","1259","安心","6","2","402","67.00","67.00","204","70.90","1777"
"1110628","1264","德麥","203","6","55013","271.00","270.50","5198","271.00","201"
"1110628","1268","漢來美食","0","0","0","0.00","108.00","3306","109.00","1009"
"1110628","1336","台翰","0","0","0","0.00","19.20","2698","19.45","494"
"1110628","1565","精華","106","7","28408","268.00","268.00","3152","269.00","335"
"1110628","1569","濱川","795","5","19912","25.05","25.05","1626","26.50","101"
"1110628","1570","力肯","101","3","1837","18.20","18.20","3281","18.25","205"
"1110628","1580","新麥","5","1","469","93.90","93.50","4082","93.90","138"
"1110628","1584","精剛","98","1","1866","19.05","19.05","4187","19.80","114"
"1110628","1586","和勤","1","1","38","38.15","38.15","2904","38.20","1403"
"1110628","1591","駿吉-KY","121","1","2474","20.45","20.45","2726","20.70","943"
"1110628","1593","祺驊","0","0","0","0.00","51.40","2198","51.70","666"
"1110628","1595","川寶","0","0","0","0.00","39.20","1699","39.75","96"
"1110628","1599","宏佳騰","50","1","2242","44.85","44.60","4347","44.85","791"
"1110628","1742","台蠟","0","0","0","0.00","21.00","2079","21.20","871"
"1110628","1777","生泰","12","1","783","65.30","65.30","3785","65.90","912"
"1110628","1781","合世","2","2","28","14.05","14.05","3761","14.50","510"
"1110628","1784","訊聯","162","4","6778","41.85","41.75","2699","41.85","871"
"1110628","1785","光洋科","850","11","36417","42.85","42.85","25260","42.95","1130"
"1110628","1788","杏昌","31","2","4929","159.00","158.50","3306","159.00","1014"
"1110628","1796","金穎生技","74","3","3063","41.40","41.40","2144","43.00","188"
"1110628","1799","易威","104","1","1310","12.60","12.60","1695","12.80","160"
"1110628","1813","寶利徠","0","0","0","0.00","18.60","1529","19.40","426"
"1110628","1815","富喬","60","2","794","13.25","13.25","5714","13.30","2276"
"1110628","2035","唐榮","0","0","0","0.00","31.70","1700","32.20","76"
