項次,行政區,分局,名稱,里別,地址,地下層數位址,容納人數,座標X,座標Y,場所名稱,,
169,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,2732,121.540396,25.033674,師大附中-舊北樓,,
170,大安區,大安分局,公有建築物,昌隆里,臺北市大安區建國南路一段81號,1,1024,121.537471,25.043558,國立臺北科技大學-學生宿舍,,
171,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,2,2164,121.533176,25.044205,國立臺北科技大學-綜合科館,,
172,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,1,830,121.533176,25.044205,國立臺北科技大學-第二教學大樓,,
173,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,1,1045,121.533176,25.044205,國立臺北科技大學-設計館,,
174,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,1,1093,121.533176,25.044205,國立臺北科技大學-新生門,,
175,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,2,2520,121.533176,25.044205,國立臺北科技大學-中正紀念館,,
176,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,2,514,121.533176,25.044205,國立臺北科技大學-圖書館,,
177,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段3號,2,1045,121.533176,25.044205,國立臺北科技大學-第四教學大樓,,
178,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路一段97巷24號,1,242,121.53482,25.04106,臺灣菸酒公司-大安營業所,,
179,大安區,大安分局,公有建築物,民輝里,臺北市大安區忠孝東路三段1號,5,9576,121.535515,25.042214,國立臺北科技大學-分子科學,,
180,大安區,大安分局,公有建築物,民輝里,臺北市大安區忠孝東路三段1號,5,7721,121.535515,25.042214,國立臺北科技大學-化學工程館,,
181,大安區,大安分局,公有建築物,民輝里,臺北市大安區忠孝東路三段1號,3,3744,121.535515,25.042214,國立臺北科技大學-億光大樓,,
182,大安區,大安分局,公有建築物,民輝里,臺北大安區忠孝東路三段46號,2,1353,121.534954,25.041801,臺北科技大學,,
183,大安區,大安分局,公有建築物,民輝里,臺北市大安區新生南路ㄧ段103巷12號,1,456,121.533917,25.040562,臺北科技大學,,
184,大安區,大安分局,公有建築物,民炤里,臺北市大安區仁愛路三段22號,1,1510,121.534949,25.037661,幸安國小-大門,,
185,大安區,大安分局,公有建築物,民炤里,臺北市大安區新生南路一段157巷19號,1,1504,121.535784,25.035053,市場處,,
186,大安區,大安分局,公有建築物,民炤里,臺北市大安區仁愛路三段2號,3,681,121.533162,25.037849,大安分局,,
187,大安區,大安分局,公有建築物,民炤里,臺北市大安區仁愛路三段18號,2,441,121.534057,25.037769,新生南路派出所,,
188,大安區,大安分局,公有建築物,民炤里,臺北市大安區建國南路一段286巷51號,1,482,121.535152,25.035775,交通部中央氣象局,,
189,大安區,大安分局,公有建築物,民炤里,臺北市大安區新生南路ㄧ段145巷4號,1,145,121.53324,25.035706,財政部國有財產局,,
190,大安區,大安分局,公有建築物,民炤里,臺北市大安區信義路三段41-2號,1,472,121.535038,25.03375,經濟部,,
191,大安區,大安分局,公有建築物,民炤里,臺北市大安區信義路三段41-3號,2,300,121.53537,25.033766,經濟部工業局,,
192,大安區,大安分局,公有建築物,民炤里,臺北市大安區新生南路ㄧ段165巷18號,1,60,121.534799,25.034134,中央氣象局,,
193,大安區,大安分局,公有建築物,龍安里,臺北市大安區新生南路二段36號,1,6957,121.533612,25.029758,新生國小,,
194,大安區,大安分局,公有建築物,龍安里,臺北市大安區和平東路一段143號,1,32,121.530514,25.026631,和平東路派出所,,
195,大安區,大安分局,公有建築物,龍安里,臺北市大安區青田街08巷03號,1,264,121.5314,25.0276,蒙藏文物展示中心,,
196,大安區,大安分局,公有建築物,龍安里,臺北市大安區青田街08巷05號,1,264,121.5312,25.0276,蒙藏文物展示中心,,
197,大安區,大安分局,公有建築物,錦安里,臺北市大安區和平東路一段127號,1,2205,121.527867,25.026941,師範大學-教育大樓,,
198,大安區,大安分局,公有建築物,錦安里,臺北市大安區和平東路一段127號,1,2320,121.527867,25.026941,師範大學進修部,,
199,大安區,大安分局,公有建築物,錦安里,臺北市大安區和平東路一段127-2號,1,1754,121.52864,25.02789,師範大學-綜合大樓,,
