"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"105年7月","三重分局","","","","","","","","","",""
"105年7月","新莊分局","","","","","","","","","",""
"105年7月","三峽分局","","","","","","","","","",""
"105年7月","淡水分局","","","","","","","","","",""
"105年7月","汐止分局","","","","","","","","","",""
"105年7月","樹林分局","","","","","","","","","",""
"105年7月","新店分局","","","","1.0","","","","","",""
"105年7月","蘆洲分局","","","","","","","","","",""
"105年7月","土城分局","","","","","","","3.0","","",""
"105年7月","金山分局","","","","","","","1.0","","",""
"105年7月","瑞芳分局","","","","1.0","","","","","",""
"105年8月","板橋分局","","","","","","","1.0","","",""
"105年8月","海山分局","","","","","","","","","",""
"105年8月","永和分局","","","","","","","","","",""
"105年8月","中和第一分局","","","","","","","","","",""
"105年8月","中和第二分局","","","","","","","1.0","","",""
"105年8月","三重分局","","1.0","","","","","","","",""
"105年8月","新莊分局","","","","","","","1.0","","",""
"105年8月","三峽分局","","","","","","","","","",""
"105年8月","淡水分局","","","","","","","1.0","","",""
"105年8月","汐止分局","","","","","","","","","",""
"105年8月","樹林分局","","","","","","","","","",""
"105年8月","新店分局","","","","","","","","","",""
"105年8月","蘆洲分局","","","","","","","2.0","","",""
"105年8月","土城分局","","","","","","","","","",""
"105年8月","金山分局","","","","1.0","","","","","",""
"105年8月","瑞芳分局","","","","1.0","","","","","",""
"105年9月","板橋分局","","","","","","","","","",""
"105年9月","海山分局","","","","","","","","","",""
"105年9月","永和分局","","","","","","","1.0","","",""
"105年9月","中和第一分局","","","","","","","","","",""
"105年9月","中和第二分局","","1.0","","","","","","","",""
"105年9月","三重分局","","","","","","1.0","","","",""
"105年9月","新莊分局","","","","","","","1.0","","",""
"105年9月","三峽分局","","","","1.0","","","","","",""
"105年9月","淡水分局","","","","","","","1.0","","",""
"105年9月","汐止分局","","","","","","","1.0","","",""
"105年9月","樹林分局","","","","","","","","","",""
"105年9月","新店分局","","","","","","","","","",""
"105年9月","蘆洲分局","","","","1.0","","","3.0","","",""
"105年9月","土城分局","","","","","","","","","",""
"105年9月","金山分局","1.0","","","","","","","","",""
"105年9月","瑞芳分局","","","","","","","","","",""
"105年10月","板橋分局","","","","","","","","","",""
"105年10月","海山分局","","","","","","","2.0","","",""
"105年10月","永和分局","","","","","","","","","",""
"105年10月","中和分局","","","","","","","1.0","","",""
"105年10月","三重分局","","","","","","","1.0","","",""
"105年10月","新莊分局","","","","","","","","","",""
"105年10月","三峽分局","","","","","","","","","",""
"105年10月","淡水分局","","","","","","","","","",""
"105年10月","汐止分局","","","","","","","","","",""
"105年10月","樹林分局","","","","","","","","","",""
"105年10月","新店分局","","","","","","","","","",""
"105年10月","蘆洲分局","","","","","","","3.0","","",""
"105年10月","土城分局","","","","","","","","","",""
"105年10月","金山分局","","","","","","","","","",""
"105年10月","瑞芳分局","","","","","","","","","",""
"105年11月","板橋分局","","","","","","","","","",""
"105年11月","海山分局","","","","","","","","","",""
"105年11月","永和分局","","","","","","","","","",""
"105年11月","中和分局","","","","","","","","","",""
"105年11月","三重分局","","1.0","","","","","","","",""
"105年11月","新莊分局","","","","2.0","","","1.0","","",""
"105年11月","三峽分局","","","","1.0","","","2.0","","",""
"105年11月","淡水分局","","","","","","","","","",""
"105年11月","汐止分局","","","","","","","","","",""
"105年11月","樹林分局","","1.0","","1.0","","","","","",""
"105年11月","新店分局","","","","","","","1.0","","",""
"105年11月","蘆洲分局","","1.0","","","","","1.0","","",""
"105年11月","土城分局","","","","","","","","","",""
"105年11月","金山分局","1.0","","","","","","","","",""
"105年11月","瑞芳分局","","","","","","","1.0","","",""
"105年12月","板橋分局","","","","","","","","","",""
"105年12月","海山分局","","","","","","","1.0","","",""
"105年12月","永和分局","","","","","","","","","",""
"105年12月","中和分局","","","","","","","1.0","","",""
"105年12月","三重分局","","","","","","","","","",""
"105年12月","新莊分局","","","","","","","","","",""
